Year,Country,Sending,Receiving,Ratio
2020,France,35732,18147,0.51
2020,Bosnia and Herzegovina,507,292,0.58
2020,Estonia,1803,2170,1.2
2020,Moldova (Republic of),218,51,0.23
2020,Germany,31246,21697,0.69
2020,Turkey,11687,5055,0.43
2020,Italy,22947,18340,0.8
2020,Armenia,343,125,0.36
2020,Belarus,208,63,0.3
2020,Russian Federation,958,367,0.38
2020,Montenegro,149,46,0.31
2020,Serbia,910,669,0.74
2020,Slovenia,2141,2570,1.2
2020,Cyprus,469,1624,3.46
2020,Albania,494,94,0.19
2020,Hungary,3960,4981,1.26
2020,Ukraine,1053,190,0.18
2020,Belgium,7761,9431,1.22
2020,Switzerland,0,6,0.0
2020,Bulgaria,3575,2502,0.7
2020,Portugal,7251,13533,1.87
2014,Spain,25846,27602,1.07
2014,Ireland,1955,4967,2.54
2014,Norway,1315,3537,2.69
2014,Sweden,2932,6576,2.24
2014,Denmark,2520,3661,1.45
2014,Iceland,397,732,1.84
2014,Slovakia,3540,2074,0.59
2014,Poland,11620,12070,1.04
2014,Finland,3886,5871,1.51
2014,Romania,6272,4630,0.74
2014,Austria,5546,5273,0.95
2014,Czech Republic,6426,5830,0.91
2014,Liechtenstein,50,35,0.7
2014,Netherlands,6900,6359,0.92
2014,Latvia,2010,1564,0.78
2014,Croatia,2169,2264,1.04
2014,Lithuania,3754,2839,0.76
2014,Kosovo * UN resolution,67,14,0.21
2014,The Republic of North Macedonia,826,157,0.19
2014,Luxembourg,456,436,0.96
2014,Malta,477,1654,3.47
2014,Georgia,750,806,1.07
2014,France,20415,20107,0.98
2014,Bosnia and Herzegovina,378,236,0.62
2014,Estonia,1757,1995,1.14
2014,Moldova (Republic of),286,272,0.95
2014,Germany,28676,23562,0.82
2014,Turkey,10617,7723,0.73
2014,Italy,20302,16539,0.81
2014,Armenia,527,304,0.58
2014,Belarus,321,229,0.71
2014,Russian Federation,398,180,0.45
2014,Montenegro,75,28,0.37
2014,Serbia,524,350,0.67
2014,Slovenia,2094,2294,1.1
2014,Cyprus,674,1033,1.53
2014,Albania,182,63,0.35
2014,Hungary,4591,4488,0.98
2014,Ukraine,782,190,0.24
2014,Belgium,5625,7033,1.25
2014,Switzerland,0,0,0.0
2014,Bulgaria,2628,2433,0.93
2014,Portugal,5527,8083,1.46
2015,Spain,47161,60661,1.29
2015,Ireland,4374,12374,2.83
2015,Norway,3548,7601,2.14
2015,Sweden,6488,12574,1.94
2015,Denmark,5612,7904,1.41
2015,Iceland,1087,1943,1.79
2015,Slovakia,8741,6194,0.71
2015,Poland,31624,27927,0.88
2015,Finland,10031,12992,1.3
2015,Romania,18630,10965,0.59
2015,Austria,10869,11661,1.07
2015,Czech Republic,15565,15532,1.0
2015,Liechtenstein,138,95,0.69
2015,Netherlands,17143,15697,0.92
2015,Latvia,6351,4757,0.75
2015,Croatia,6020,5045,0.84
2015,Lithuania,10645,6880,0.65
2015,Kosovo * UN resolution,263,137,0.52
2015,The Republic of North Macedonia,2792,1124,0.4
2015,Luxembourg,934,1496,1.6
2015,Malta,1436,6775,4.72
2015,Georgia,1869,1893,1.01
2015,France,45739,35272,0.77
2015,Bosnia and Herzegovina,841,524,0.62
2015,Estonia,5185,4571,0.88
2015,Moldova (Republic of),885,679,0.77
2015,Germany,52232,51270,0.98
2015,Turkey,28329,18201,0.64
2015,Italy,46212,42805,0.93
2015,Armenia,1422,1361,0.96
2015,Belarus,743,411,0.55
2015,Russian Federation,943,602,0.64
2015,Montenegro,348,322,0.93
2015,Serbia,1355,1111,0.82
2015,Slovenia,5279,5961,1.13
2015,Cyprus,1602,3418,2.13
2015,Albania,695,331,0.48
2015,Hungary,11208,11239,1.0
2015,Ukraine,2159,631,0.29
2015,Belgium,12472,15114,1.21
2015,Switzerland,0,0,0.0
2015,Bulgaria,8040,4927,0.61
2015,Portugal,14428,20461,1.42
